Date,Difficulty,Category,Word
2024-06-06,Medium,HAIL SIZE COMPARISONS,PEA
2024-06-06,Hard,PLACES WITH BENCHES,COURTROOM
2024-06-06,Hard,PLACES WITH BENCHES,DUGOUT
2024-06-06,Hard,PLACES WITH BENCHES,GYM
2024-06-06,Hard,PLACES WITH BENCHES,PARK
2024-06-05,Easiest,“AWESOME!”,COOL
2024-06-05,Easiest,“AWESOME!”,NICE
2024-06-05,Easiest,“AWESOME!”,SICK
2024-06-05,Easiest,“AWESOME!”,SWEET
2024-06-05,Easy,VARIETY,KIND
2024-06-05,Easy,VARIETY,SORT
2024-06-05,Easy,VARIETY,STYLE
2024-06-05,Easy,VARIETY,TYPE
2024-06-05,Medium,GIST,DRIFT
2024-06-05,Medium,GIST,IDEA
2024-06-05,Medium,GIST,MESSAGE
2024-06-05,Medium,GIST,POINT
2024-06-05,Hard,FRIED APPETIZER INFORMALLY,RING
2024-06-05,Hard,FRIED APPETIZER INFORMALLY,STICK
2024-06-05,Hard,FRIED APPETIZER INFORMALLY,TENDER
2024-06-05,Hard,FRIED APPETIZER INFORMALLY,WING
2024-06-04,Easiest,TAKE HOME AS INCOME,CLEAR
2024-06-04,Easiest,TAKE HOME AS INCOME,EARN
2024-06-04,Easiest,TAKE HOME AS INCOME,MAKE
2024-06-04,Easiest,TAKE HOME AS INCOME,NET
2024-06-04,Easy,PARTS OF A WIZARD COSTUME,BEARD
2024-06-04,Easy,PARTS OF A WIZARD COSTUME,HAT
2024-06-04,Easy,PARTS OF A WIZARD COSTUME,ROBE
2024-06-04,Easy,PARTS OF A WIZARD COSTUME,STAFF
2024-06-04,Medium,FOUND ON A SHIP,BRIDGE
2024-06-04,Medium,FOUND ON A SHIP,DECK
2024-06-04,Medium,FOUND ON A SHIP,HATCH
2024-06-04,Medium,FOUND ON A SHIP,KEEL
2024-06-04,Hard,C-___,CLEF
2024-06-04,Hard,C-___,SECTION
2024-06-04,Hard,C-___,SPAN
2024-06-04,Hard,C-___,SUITE
2024-06-03,Easiest,REMOVE AS BODY HAIR,LASER
2024-06-03,Easiest,REMOVE AS BODY HAIR,PLUCK
2024-06-03,Easiest,REMOVE AS BODY HAIR,THREAD
2024-06-03,Easiest,REMOVE AS BODY HAIR,WAX
2024-06-03,Easy,TWIST AROUND,COIL
2024-06-03,Easy,TWIST AROUND,SPOOL
2024-06-03,Easy,TWIST AROUND,WIND
2024-06-03,Easy,TWIST AROUND,WRAP
2024-06-03,Medium,THINGS MADE OF CELLS,HONEYCOMB
2024-06-03,Medium,THINGS MADE OF CELLS,ORGANISM
2024-06-03,Medium,THINGS MADE OF CELLS,SOLAR PANEL
2024-06-03,Medium,THINGS MADE OF CELLS,SPREADSHEET
2024-06-03,Hard,B-___,BALL
2024-06-03,Hard,B-___,MOVIE
2024-06-03,Hard,B-___,SCHOOL
2024-06-03,Hard,B-___,VITAMIN
2024-06-02,Easiest,CONFORMISTS,FOLLOWERS
2024-06-02,Easiest,CONFORMISTS,LEMMINGS
2024-06-02,Easiest,CONFORMISTS,PUPPETS
2024-06-02,Easiest,CONFORMISTS,SHEEP
2024-06-02,Easy,COMPANY OWNERSHIP OFFERS,EQUITY
2024-06-02,Easy,COMPANY OWNERSHIP OFFERS,OPTIONS
2024-06-02,Easy,COMPANY OWNERSHIP OFFERS,SHARES
2024-06-02,Easy,COMPANY OWNERSHIP OFFERS,STOCKS
2024-06-02,Medium,U.S. CITIES,BILLINGS
2024-06-02,Medium,U.S. CITIES,BUFFALO
2024-06-02,Medium,U.S. CITIES,MOBILE
2024-06-02,Medium,U.S. CITIES,PHOENIX
2024-06-02,Hard,WHAT “DIGS” MIGHT MEAN,APARTMENT
2024-06-02,Hard,WHAT “DIGS” MIGHT MEAN,INSULTS
2024-06-02,Hard,WHAT “DIGS” MIGHT MEAN,LIKES
2024-06-02,Hard,WHAT “DIGS” MIGHT MEAN,SHOVELS
2024-06-01,Easiest,“DON’T DELAY!”,HURRY
2024-06-01,Easiest,“DON’T DELAY!”,NOW
2024-06-01,Easiest,“DON’T DELAY!”,PRONTO
2024-06-01,Easiest,“DON’T DELAY!”,STAT
2024-06-01,Easy,OCEAN PHENOMENA,CURRENT
2024-06-01,Easy,OCEAN PHENOMENA,DRIFT
2024-06-01,Easy,OCEAN PHENOMENA,TIDE
2024-06-01,Easy,OCEAN PHENOMENA,WAVE
2024-06-01,Medium,DUMBBELL EXERCISES,CURL
2024-06-01,Medium,DUMBBELL EXERCISES,FLY
2024-06-01,Medium,DUMBBELL EXERCISES,PRESS
2024-06-01,Medium,DUMBBELL EXERCISES,ROW
2024-06-01,Hard,PHILOSOPHER HOMOPHONES,LOCK
2024-06-01,Hard,PHILOSOPHER HOMOPHONES,MARKS
2024-06-01,Hard,PHILOSOPHER HOMOPHONES,PANE
2024-06-01,Hard,PHILOSOPHER HOMOPHONES,RUSTLE
2024-05-31,Easiest,CORPUS,BODY
2024-05-31,Easiest,CORPUS,CANON
2024-05-31,Easiest,CORPUS,OEUVRE
2024-05-31,Easiest,CORPUS,WORKS
2024-05-31,Easy,MOUNT ___,FUJI
2024-05-31,Easy,MOUNT ___,HOOD
2024-05-31,Easy,MOUNT ___,OLYMPUS
2024-05-31,Easy,MOUNT ___,WHITNEY
2024-05-31,Medium,COMPONENTS OF AN LP,INSERT
2024-05-31,Medium,COMPONENTS OF AN LP,JACKET
2024-05-31,Medium,COMPONENTS OF AN LP,RECORD
2024-05-31,Medium,COMPONENTS OF AN LP,SLEEVE
2024-05-31,Hard,THINGS PEOPLE SHAKE,HANDS
2024-05-31,Hard,THINGS PEOPLE SHAKE,MARACA
2024-05-31,Hard,THINGS PEOPLE SHAKE,POLAROID
2024-05-31,Hard,THINGS PEOPLE SHAKE,SNOWGLOBE
2024-05-30,Easiest,PLUNDER,LOOT
2024-05-30,Easiest,PLUNDER,RAID
2024-05-30,Easiest,PLUNDER,ROB
2024-05-30,Easiest,PLUNDER,SACK
2024-05-30,Easy,INFLUENCE,CLOUT
2024-05-30,Easy,INFLUENCE,PULL
2024-05-30,Easy,INFLUENCE,SWAY
2024-05-30,Easy,INFLUENCE,WEIGHT
2024-05-30,Medium,HAIRSTYLES,BOB
2024-05-30,Medium,HAIRSTYLES,CROP
2024-05-30,Medium,HAIRSTYLES,FADE
2024-05-30,Medium,HAIRSTYLES,SHAG
2024-05-30,Hard,___ PIN,BOBBY
2024-05-30,Hard,___ PIN,HAIR
2024-05-30,Hard,___ PIN,PUSH
2024-05-30,Hard,___ PIN,SAFETY
2024-05-29,Easiest,FOOD,CHOW
2024-05-29,Easiest,FOOD,EATS
2024-05-29,Easiest,FOOD,FARE
2024-05-29,Easiest,FOOD,GRUB
2024-05-29,Easy,PILOT,DIRECT
2024-05-29,Easy,PILOT,GUIDE
2024-05-29,Easy,PILOT,LEAD
2024-05-29,Easy,PILOT,STEER
2024-05-29,Medium,INTIMIDATE,BULLY
2024-05-29,Medium,INTIMIDATE,COW
2024-05-29,Medium,INTIMIDATE,DAUNT
2024-05-29,Medium,INTIMIDATE,RATTLE
2024-05-29,Hard,___ MARKET,BULL
2024-05-29,Hard,___ MARKET,FLEA
2024-05-29,Hard,___ MARKET,MEAT
2024-05-29,Hard,___ MARKET,STOCK
2024-05-28,Easiest,AMENABLE,EASY
2024-05-28,Easiest,AMENABLE,FLEXIBLE
2024-05-28,Easiest,AMENABLE,OPEN
2024-05-28,Easiest,AMENABLE,RECEPTIVE
2024-05-28,Easy,ANAGRAMS,EVIL
2024-05-28,Easy,ANAGRAMS,LIVE
2024-05-28,Easy,ANAGRAMS,VEIL
2024-05-28,Easy,ANAGRAMS,VILE
2024-05-28,Medium,SPELLING BEE RANKS,AMAZING
2024-05-28,Medium,SPELLING BEE RANKS,BEGINNER
2024-05-28,Medium,SPELLING BEE RANKS,GENIUS
2024-05-28,Medium,SPELLING BEE RANKS,SOLID
2024-05-28,Hard,ADJECTIVES FOR A CANDLE,LIT
2024-05-28,Hard,ADJECTIVES FOR A CANDLE,SCENTED
2024-05-28,Hard,ADJECTIVES FOR A CANDLE,WAXY
2024-05-28,Hard,ADJECTIVES FOR A CANDLE,WICKED
2024-05-27,Easiest,AGENCY IN DECISIONMAKING,CHOICE
2024-05-27,Easiest,AGENCY IN DECISIONMAKING,SAY
2024-05-27,Easiest,AGENCY IN DECISIONMAKING,VOICE
2024-05-27,Easiest,AGENCY IN DECISIONMAKING,VOTE
2024-05-27,Easy,DOG COMMANDS,DOWN
2024-05-27,Easy,DOG COMMANDS,HEEL
2024-05-27,Easy,DOG COMMANDS,SHAKE
2024-05-27,Easy,DOG COMMANDS,SPEAK
2024-05-27,Medium,KINDS OF NOTES,FLAT
2024-05-27,Medium,KINDS OF NOTES,NATURAL
2024-05-27,Medium,KINDS OF NOTES,QUARTER
2024-05-27,Medium,KINDS OF NOTES,WHOLE
2024-05-27,Hard,___ IRON,PUMP
2024-05-27,Hard,___ IRON,STEAM
2024-05-27,Hard,___ IRON,TIRE
2024-05-27,Hard,___ IRON,WAFFLE
2024-05-26,Easiest,FOUND ON A STOVE TOP,GRIDDLE
2024-05-26,Easiest,FOUND ON A STOVE TOP,KETTLE
2024-05-26,Easiest,FOUND ON A STOVE TOP,PAN
2024-05-26,Easiest,FOUND ON A STOVE TOP,POT
2024-05-26,Easy,ORNAMENTAL BORDER,FRILL
2024-05-26,Easy,ORNAMENTAL BORDER,FRINGE
2024-05-26,Easy,ORNAMENTAL BORDER,RUFFLE
2024-05-26,Easy,ORNAMENTAL BORDER,TRIM
2024-05-26,Medium,DEPOSIT WITH “DOWN”,LAY
2024-05-26,Medium,DEPOSIT WITH “DOWN”,PLACE
2024-05-26,Medium,DEPOSIT WITH “DOWN”,PUT
2024-05-26,Medium,DEPOSIT WITH “DOWN”,SET
2024-05-26,Hard,WORDS THAT SOUND LIKE PLURAL LETTERS,GEEZ
2024-05-26,Hard,WORDS THAT SOUND LIKE PLURAL LETTERS,SEIZE
2024-05-26,Hard,WORDS THAT SOUND LIKE PLURAL LETTERS,TEASE
2024-05-26,Hard,WORDS THAT SOUND LIKE PLURAL LETTERS,WISE
2024-05-25,Easiest,ADVERTISING FORMAT,BANNER
2024-05-25,Easiest,ADVERTISING FORMAT,BILLBOARD
2024-05-25,Easiest,ADVERTISING FORMAT,POSTER
2024-05-25,Easiest,ADVERTISING FORMAT,SIGN
2024-05-25,Easy,INAUGURAL,FIRST
2024-05-25,Easy,INAUGURAL,INITIAL
2024-05-25,Easy,INAUGURAL,MAIDEN
2024-05-25,Easy,INAUGURAL,PREMIER
2024-05-25,Medium,ADVOCATE FOR,BACK
2024-05-25,Medium,ADVOCATE FOR,CHAMPION
2024-05-25,Medium,ADVOCATE FOR,ENDORSE
2024-05-25,Medium,ADVOCATE FOR,SUPPORT
2024-05-25,Hard,PRONOUN PLUS “E”,HERE
2024-05-25,Hard,PRONOUN PLUS “E”,THEME
2024-05-25,Hard,PRONOUN PLUS “E”,USE
2024-05-25,Hard,PRONOUN PLUS “E”,WEE
2024-05-24,Easiest,CONDUITS FOR WATER REMOVAL,DRAIN
2024-05-24,Easiest,CONDUITS FOR WATER REMOVAL,DUCT
2024-05-24,Easiest,CONDUITS FOR WATER REMOVAL,PIPE
2024-05-24,Easiest,CONDUITS FOR WATER REMOVAL,SEWER
2024-05-24,Easy,FOOD PRODUCTS ASSOCIATED WITH SENTIMENTALITY,CHEESE
2024-05-24,Easy,FOOD PRODUCTS ASSOCIATED WITH SENTIMENTALITY,CORN
2024-05-24,Easy,FOOD PRODUCTS ASSOCIATED WITH SENTIMENTALITY,SAP
2024-05-24,Easy,FOOD PRODUCTS ASSOCIATED WITH SENTIMENTALITY,SCHMALTZ
2024-05-24,Medium,THINGS TO CRACK,EGG
2024-05-24,Medium,THINGS TO CRACK,KNUCKLES
2024-05-24,Medium,THINGS TO CRACK,SMILE
2024-05-24,Medium,THINGS TO CRACK,WINDOW
2024-05-24,Hard,___ CHANGE,CHUMP
2024-05-24,Hard,___ CHANGE,CLIMATE
2024-05-24,Hard,___ CHANGE,LOOSE
2024-05-24,Hard,___ CHANGE,SEA
2024-05-23,Easiest,TAKE ADVANTAGE OF,EXPLOIT
2024-05-23,Easiest,TAKE ADVANTAGE OF,LEVERAGE
2024-05-23,Easiest,TAKE ADVANTAGE OF,MILK
2024-05-23,Easiest,TAKE ADVANTAGE OF,USE
2024-05-23,Easy,FINISHED AS TIME,DONE
2024-05-23,Easy,FINISHED AS TIME,OVER
2024-05-23,Easy,FINISHED AS TIME,THROUGH
2024-05-23,Easy,FINISHED AS TIME,UP
2024-05-23,Medium,NEWSPAPER DESKS,CITY
2024-05-23,Medium,NEWSPAPER DESKS,COPY
2024-05-23,Medium,NEWSPAPER DESKS,CULTURE
2024-05-23,Medium,NEWSPAPER DESKS,SPORTS
2024-05-23,Hard,WORDS BEGINNING WITH GREETINGS,HEYDAY
2024-05-23,Hard,WORDS BEGINNING WITH GREETINGS,HIJINKS
2024-05-23,Hard,WORDS BEGINNING WITH GREETINGS,SUPPER
2024-05-23,Hard,WORDS BEGINNING WITH GREETINGS,YOGURT
2024-05-22,Easiest,BODY PARTS IN “HEAD SHOULDERS KNEES AND TOES”,HEAD
2024-05-22,Easiest,BODY PARTS IN “HEAD SHOULDERS KNEES AND TOES”,KNEES
2024-05-22,Easiest,BODY PARTS IN “HEAD SHOULDERS KNEES AND TOES”,SHOULDERS
2024-05-22,Easiest,BODY PARTS IN “HEAD SHOULDERS KNEES AND TOES”,TOES
2024-05-22,Easy,CAR INFORMALLY,AUTO
2024-05-22,Easy,CAR INFORMALLY,RIDE
2024-05-22,Easy,CAR INFORMALLY,WHEELS
2024-05-22,Easy,CAR INFORMALLY,WHIP
2024-05-22,Medium,REMOVES THE COVERING OF,PARES
2024-05-22,Medium,REMOVES THE COVERING OF,PEELS
2024-05-22,Medium,REMOVES THE COVERING OF,SHELLS
2024-05-22,Medium,REMOVES THE COVERING OF,SHUCKS
2024-05-22,Hard,“BUZZY” THINGS,BEES
2024-05-22,Hard,“BUZZY” THINGS,CAFFEINE
2024-05-22,Hard,“BUZZY” THINGS,GOSSIP
2024-05-22,Hard,“BUZZY” THINGS,INTERCOMS
2024-05-21,Easiest,SMIDGEN,BIT
2024-05-21,Easiest,SMIDGEN,DASH
2024-05-21,Easiest,SMIDGEN,PINCH
2024-05-21,Easiest,SMIDGEN,TOUCH
2024-05-21,Easy,BARGAIN,BUY
2024-05-21,Easy,BARGAIN,DEAL
2024-05-21,Easy,BARGAIN,STEAL
2024-05-21,Easy,BARGAIN,VALUE
2024-05-21,Medium,BILLIARDS EQUIPMENT,BALL
2024-05-21,Medium,BILLIARDS EQUIPMENT,CHALK
2024-05-21,Medium,BILLIARDS EQUIPMENT,CUE
2024-05-21,Medium,BILLIARDS EQUIPMENT,RACK
2024-05-21,Hard,___BOOK (THAT’S NOT A BOOK),FACE
2024-05-21,Hard,___BOOK (THAT’S NOT A BOOK),MAC
2024-05-21,Hard,___BOOK (THAT’S NOT A BOOK),MATCH
2024-05-21,Hard,___BOOK (THAT’S NOT A BOOK),POCKET
2024-05-20,Easiest,SORCERER’S OUTPUT,CHARM
2024-05-20,Easiest,SORCERER’S OUTPUT,HEX
2024-05-20,Easiest,SORCERER’S OUTPUT,MAGIC
2024-05-20,Easiest,SORCERER’S OUTPUT,SPELL
2024-05-20,Easy,ONE BEING MANIPULATED,INSTRUMENT
2024-05-20,Easy,ONE BEING MANIPULATED,PAWN
2024-05-20,Easy,ONE BEING MANIPULATED,PUPPET
2024-05-20,Easy,ONE BEING MANIPULATED,TOOL
2024-05-20,Medium,CLASSIC SUPERHERO WEAR,CAPE
2024-05-20,Medium,CLASSIC SUPERHERO WEAR,MASK
2024-05-20,Medium,CLASSIC SUPERHERO WEAR,TIGHTS
2024-05-20,Medium,CLASSIC SUPERHERO WEAR,UNDERWEAR
2024-05-20,Hard,ACTION MOVIE DIRECTORS,BAY
2024-05-20,Hard,ACTION MOVIE DIRECTORS,CARPENTER
2024-05-20,Hard,ACTION MOVIE DIRECTORS,SCOTT
2024-05-20,Hard,ACTION MOVIE DIRECTORS,WOO
2024-05-19,Easiest,AFFLUENT,FLUSH
2024-05-19,Easiest,AFFLUENT,LOADED
2024-05-19,Easiest,AFFLUENT,RICH
2024-05-19,Easiest,AFFLUENT,WEALTHY
2024-05-19,Easy,CUT INTO PIECES,CHOP
2024-05-19,Easy,CUT INTO PIECES,CUBE
2024-05-19,Easy,CUT INTO PIECES,DICE
2024-05-19,Easy,CUT INTO PIECES,MINCE
2024-05-19,Medium,OLD-FASHIONED,SQUARE
2024-05-19,Medium,OLD-FASHIONED,STRAIGHT
2024-05-19,Medium,OLD-FASHIONED,STUFFY
2024-05-19,Medium,OLD-FASHIONED,TRADITIONAL
2024-05-19,Hard,FRUIT HOMOPHONES,BURY
2024-05-19,Hard,FRUIT HOMOPHONES,CURRENT
2024-05-19,Hard,FRUIT HOMOPHONES,LEACHY
2024-05-19,Hard,FRUIT HOMOPHONES,PAIR
2024-05-18,Easiest,ANIMALS WHOSE NAMES ARE TWO ANIMALS,BULLDOG
2024-05-18,Easiest,ANIMALS WHOSE NAMES ARE TWO ANIMALS,CATFISH
2024-05-18,Easiest,ANIMALS WHOSE NAMES ARE TWO ANIMALS,HORSEFLY
2024-05-18,Easiest,ANIMALS WHOSE NAMES ARE TWO ANIMALS,TURTLEDOVE
2024-05-18,Easy,SHARP TURNS,DOGLEG
2024-05-18,Easy,SHARP TURNS,HAIRPIN
2024-05-18,Easy,SHARP TURNS,SWITCHBACK
2024-05-18,Easy,SHARP TURNS,ZAG
2024-05-18,Medium,CLASSIC PARTY GAMES,CATEGORIES
2024-05-18,Medium,CLASSIC PARTY GAMES,CHARADES
2024-05-18,Medium,CLASSIC PARTY GAMES,FISHBOWL
2024-05-18,Medium,CLASSIC PARTY GAMES,WEREWOLF
2024-05-18,Hard,THINGS WITH SPRING/S,CLOCK
2024-05-18,Hard,THINGS WITH SPRING/S,MATTRESS
2024-05-18,Hard,THINGS WITH SPRING/S,MOUSETRAP
2024-05-18,Hard,THINGS WITH SPRING/S,TRAMPOLINE
2024-05-17,Easiest,CORRUPT,BASE
2024-05-17,Easiest,CORRUPT,DIRTY
2024-05-17,Easiest,CORRUPT,LOW
2024-05-17,Easiest,CORRUPT,VILE
2024-05-17,Easy,REACH OUT TO,CONTACT
2024-05-17,Easy,REACH OUT TO,MESSAGE
2024-05-17,Easy,REACH OUT TO,PING
2024-05-17,Easy,REACH OUT TO,TEXT
2024-05-17,Medium,CLASSIC STILL LIFE COMPONENTS,FRUIT
2024-05-17,Medium,CLASSIC STILL LIFE COMPONENTS,PITCHER
2024-05-17,Medium,CLASSIC STILL LIFE COMPONENTS,SKULL
2024-05-17,Medium,CLASSIC STILL LIFE COMPONENTS,TABLECLOTH
2024-05-17,Hard,BEER ___,BATTER
2024-05-17,Hard,BEER ___,CAN
2024-05-17,Hard,BEER ___,GARDEN
2024-05-17,Hard,BEER ___,PONG
2024-05-16,Easiest,PHOTO,PIC
2024-05-16,Easiest,PHOTO,SHOT
2024-05-16,Easiest,PHOTO,SNAP
2024-05-16,Easiest,PHOTO,STILL
2024-05-16,Easy,ASSURE AS A VICTORY,CINCH
2024-05-16,Easy,ASSURE AS A VICTORY,ICE
2024-05-16,Easy,ASSURE AS A VICTORY,LOCK
2024-05-16,Easy,ASSURE AS A VICTORY,SECURE
2024-05-16,Medium,MOVE IN AN EFFORTLESS WAY,BREEZE
2024-05-16,Medium,MOVE IN AN EFFORTLESS WAY,COAST
2024-05-16,Medium,MOVE IN AN EFFORTLESS WAY,GLIDE
2024-05-16,Medium,MOVE IN AN EFFORTLESS WAY,SAIL
2024-05-16,Hard,___ BLANKET,PICNIC
2024-05-16,Hard,___ BLANKET,SECURITY
2024-05-16,Hard,___ BLANKET,THROW
2024-05-16,Hard,___ BLANKET,WET
2024-05-15,Easiest,BIT OF LEGISLATION,ACT
2024-05-15,Easiest,BIT OF LEGISLATION,BILL
2024-05-15,Easiest,BIT OF LEGISLATION,MEASURE
2024-05-15,Easiest,BIT OF LEGISLATION,RESOLUTION
